site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
828,,Unknown,Historical,1969,1970,1969,1970,1960,1970,1960,5,0.034248069114797684,-120.474722,34.668333
829,,Unknown,Historical,1951,1952,1951,1952,1950,1950,1950,1,0.36879894933315405,-119.6986,34.6478
830,,Unknown,Historical,1928,,1928,,1920,,1920,5,0.069351775,-120.143611,34.584999
831,,Unknown,Historical,1958,1959,1958,1959,1950,1950,1950,5,0.014239677854794568,-120.4738889,34.66805556
832,,Unknown,Historical,1928,1956,1928,1956,1920,1950,1920,5,0.097818963,-120.1425,34.584722
833,,Unknown,Historical,1947,1960,1947,1960,1940,1960,1940,5,0.021433631286644998,-119.8625,34.54305556
834,,Unknown,Historical,1947,1960,1947,1960,1940,1960,1940,5,0.030936888552751153,-120.425,34.6375
835,,Unknown,Historical,1920,1943,1920,1943,1920,1940,1920,5,0.4085946395271208,-119.683333,34.527778
836,,Unknown,Historical,1918,1919,1918,1919,1910,1910,1910,2,1.395194199118417,-120.4572,34.6426
837,,Unknown,Historical,,,,,,,,3,0.361574011,-120.0566,34.7424
838,,Unknown,Historical,,,,,,,,3,0.1966235277022453,-120.0647,34.7375
839,,Unknown,Historical,,,,,,,,3,0.40733334279912753,-120.0835,34.7467
840,,Unknown,Historical,,,,,,,,5,0.5018069615897165,-120.4283,34.6471
843,,Unknown,Historical,1928,1963,1928,1963,1920,1960,1920,1,0.527262018,-119.995833,34.583333
844,,Unknown,Historical,1906,1959,1906,1959,1900,1950,1900,5,0.15176428591739757,-120.43,34.64416667
845,,Unknown,Historical,1930,1952,1930,1952,1930,1950,1930,3,0.13263605574871645,-119.506944,34.492222
846,,Unknown,Historical,1929,1950,1929,1950,1920,1950,1920,5,0.013505828846076297,-120.0305556,34.5888889
847,,Unknown,Historical,1941,,1941,,1940,,1940,5,0.001247773,-120.491667,34.672222
848,,Unknown,Historical,1954,1971,1954,1971,1950,1970,1950,5,0.034248069114797684,-120.474722,34.668333
849,11123500,Unknown,NWIS USGS,1952,1979,1952,1979,1950,1970,1950,5,0.035304686,-119.864827,34.54359399
850,11132500,Unknown,NWIS USGS,1952,1978,1952,1978,1950,1970,1950,4,0.04172858,-120.4084524,34.58858865
851,11124500,Unknown,NWIS USGS,1954,1978,1954,1978,1950,1970,1950,4,0.04717062,-119.9087519,34.5966563
852,11128500,Unknown,NWIS USGS,1958,1979,1958,1979,1950,1970,1950,5,0.026258577767454144,-120.1445568,34.58497968
853,11133000,Unknown,NWIS USGS,1958,1979,1958,1979,1950,1970,1950,5,0.12094760773955353,-120.4245645,34.6360873
854,11134800,Unknown,NWIS USGS,1971,1978,1971,1978,1970,1970,1970,2,0.030076421,-120.4648857,34.6316501
855,11123000,Unknown,NWIS USGS,1973,1975,1973,1975,1970,1970,1970,5,0.016319573848048496,-119.6873223,34.52442917
